movie_name,word_sum,token_sum
U-Turn,8820,8846
Godfather,6778,7119
Event-Horizon,3117,3129
Case-39,5420,5355
Avventura-L-(The-Adventure),5966,5747
Priest,10201,10520
Alien-Nation,6085,6058
Changeling,8744,8682
Get-Low,6432,6652
Custody,4804,4854
Boondock-Saints-2-All-Saints-Day,4717,4950
Ghostbusters,901,961
Brothers-Bloom-The,6130,6369
xXx,5728,5910
Paul,10495,11258
Hard-to-Kill,3803,3705
King-Kong,3980,3855
Miracle-Worker-The,686,740
Cobb,16333,16210
Basquiat,4504,4600
Jane-Eyre,8214,8756
Ronin,4561,4557
Pandorum,15063,15385
Blow,8355,8751
Ghost-and-the-Darkness-The,1765,1792
Ill-Do-Anything,10239,9869
Arbitrage,7686,7792
Wall-Street-Money-Never-Sleeps,15848,15747
Twin-Peaks,4816,4910
Avatar,5148,5220
Invention-of-Lying-The,8348,8349
Army-of-Darkness,9753,10421
Get-Out,3831,3745
Runaway-Bride,7516,7565
Mummy-The,4032,4195
Birthday-Girl,2231,2214
Les-Tontons-Flingueurs,7067,7658
In-the-Loop,5848,5923
Shifty,2468,2407
Doors-The,14412,14314
30-Minutes-or-Less,9650,9879
Ghost,5129,5392
Pariah,3653,3695
Truman-Show-The,5175,5173
Life,10060,10384
Star-Trek,8122,8014
50-50,6805,6971
Catch-Me-If-You-Can,11749,12191
Peeping-Tom,6962,5968
Kramer-vs-Kramer,6700,6608
Men-in-Black,4723,4883
Arthur,11950,12562
Nines-The,3478,3586
Major-League,5547,5850
My-Mother-Dreams-the-Satans-Disciples-in-New-York,1002,978
An-Education,6872,7034
Semi-Pro,12442,13062
From-Here-to-Eternity,14737,15039
Its-a-Wonderful-Life,14029,14116
Backdraft,7918,7905
Wild-At-Heart,11321,11519
Star-Trek-Nemesis,6089,6155
Perks-of-Being-a-Wallflower-The,6067,6165
Black-Swan,2785,2893
Valkyrie,4335,4502
Rocky,6930,6476
Antitrust,6626,6652
Evil-Dead,9,9
Yes-Man,8356,8654
Mirrors,4478,4307
Grapes-of-Wrath-The,9600,10189
Jennifers-Body,9572,10191
Rock-The,6483,6845
Fracture,10820,11203
Oceans-Twelve,4391,4546
Thirteen-Days,8590,8979
Patriot-The,6912,7084
Candle-to-Water,3364,3305
Crazy-Stupid-Love,7840,7896
Wind-Chill,2480,2416
Beasts-of-No-Nation,5878,6051
Crouching-Tiger-Hidden-Dragon,2836,2884
Ted,11720,12031
Kingdom-The,6349,6480
Confessions-of-a-Dangerous-Mind,8396,8678
12-and-Holding,2877,2909
Max-Payne,3040,3086
Shame,3553,3583
Bourne-Ultimatum-The,3524,3722
LEGO-Movie-The,6504,6675
Memento,4012,4017
Remember-Me,5656,5699
Swordfish,4940,5057
Flintstones-The,13252,13072
Blind-Side-The,9701,9887
World-is-not-Enough-The,3681,3719
Its-Complicated,10860,10550
Natural-Born-Killers,10244,10649
Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe,2095,2194
Fright-Night-(1985),12232,12901
Mission-Impossible,3770,3889
Dry-White-Season-A,12175,12635
Adjustment-Bureau-The,11225,11389
Liar-Liar,11341,11410
Last-Chance-Harvey,5677,5720
Field-of-Dreams,12288,12702
Willow,4766,5089
Cecil-B-Demented,6269,6799
Alone-in-the-Dark,2905,3016
Pleasantville,7233,6766
Spider-Man,5777,5444
Hannibal,8067,7570
Bull-Durham,9345,9298
Whos-Your-Daddy,7595,7913
Terminator-2-Judgement-Day,4300,4323
GI-Jane,6492,6494
Transformers-The-Movie,3654,3895
Annie-Hall,17128,16791
Grudge-The,1148,1134
Italian-Job-The,3147,3283
So-I-Married-an-Axe-Murderer,9144,9355
Warm-Springs,6559,6707
Day-of-the-Dead,3176,3264
Star-Wars-Attack-of-the-Clones,7435,7372
Searchers-The,6691,6225
Mr-Brooks,7070,7030
Cooler-The,4913,5013
Six-Degrees-of-Separation,17035,18180
Sideways,10932,11272
Way-Back-The,4645,4962
Green-Mile-The,6035,6169
Mission-Impossible-II,5440,5619
Shawshank-Redemption-The,9798,10159
Psycho,4452,4228
Edward-Scissorhands,1792,1828
Rush,5958,6050
My-Girl,5847,6076
Bad-Country,4697,4806
Henrys-Crime,9928,10272
Big-Fish,7907,8071
BlacKkKlansman,6367,6646
