movie_name,char,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
AfterLife,Jack,0.44152133634738217,0.5308209282432511,0.5407061004874973,0.5,0.6933822727727214
AfterLife,Paul,0.43381696779902007,0.6498721629383841,0.4198546328303014,0.4002489822494049,0.8081772960971408
AfterLife,Tom,0.4625649282690795,0.5071579373758286,0.50600226525229,0.48277573373266475,0.7646888315386794
Agnes of God,Agnes,0.3907734961857487,0.7188663500010062,0.5309473027315595,0.4255455113994106,0.6601410302184453
Agnes of God,Martha,0.41736120230878504,0.6423408275164252,0.5454636685563131,0.5,0.7870831602249364
Airplane,Elaine,0.5160699740194538,0.4306040513490583,0.4615289335823896,0.5214341677894245,0.7253172779570286
Airplane,Kramer,0.4873493950259579,0.33246689688257086,0.5,0.5,0.7294565010645813
Airplane,Striker,0.42246543724334346,0.33859344788462153,0.5544516462808388,0.5285690699386997,0.5859751985296382
Airplane 2 The Sequel,Elaine,0.5351633018332282,0.5320710700206914,0.5197128261383606,0.488560502552784,0.8539410419252689
Airplane 2 The Sequel,Mary,0.35799215441223675,0.21662479677077676,0.513598240671565,0.4704038612498297,0.7744820143332473
Airplane 2 The Sequel,Oveur,0.3783695868761214,0.2936806722631526,0.5,0.46401960174494283,0.7758128342408328
Airplane 2 The Sequel,Simon,0.48438992624420485,0.31478754738614434,0.5402443562610816,0.4653343815355631,0.7279032825529153
Airplane 2 The Sequel,Stella,0.5603556775341333,0.5351167692527898,0.5858389942206631,0.6193253293431815,0.5524003685526774
Airplane 2 The Sequel,Ted,0.401659738005886,0.4139431663863794,0.4701420832676435,0.4322844281746557,0.791431201674668
Ali,Ali,0.5059397855617417,0.3860699951809749,0.37716563565509864,0.40094870911512454,0.6300463595153989
Ali,Belinda,0.5077794137719441,0.37136914340947297,0.4731596827656741,0.3984414712670905,0.6176299186950085
Ali,Bundini,0.537933205058025,0.40359953713850816,0.4062544657180618,0.3531687579194727,0.7436556993853624
Ali,Cassius,0.5172796299587274,0.436739551314074,0.4109603731324145,0.42700873232259606,0.6723514153784221
Ali,Howard cosell,0.5105759657635023,0.3017067260739066,0.4865003234314225,0.46777324026800815,0.5948319852808593
Alien 3,Abbot,0.3644034941900009,0.494608203683032,0.4752486905387276,0.4131808786438058,0.8426673770009141
Alien 3,John,0.3382189369039077,0.4579959866488751,0.5102299104135741,0.5312214850246586,0.6721095501956847
Alien 3,Ripley,0.38242559393789854,0.5,0.4456031049387404,0.42650552218327425,0.8531065825211104
Alien Nation,Harcourt,0.6147155067172133,0.24190203146350125,0.5345799689994958,0.6097177830101015,0.7567289019102159
Alien Nation,Jetson,0.46731114479950153,0.37324554789342146,0.4160211540781444,0.43505838127117924,0.8673228130560683
Alien Nation,Sykes,0.5414969582146657,0.43876439672062345,0.3483188164366197,0.3744353540803047,0.7967391809404826
Alien vs Predator,Hiroko,0.3779945313252351,0.3670558147753336,0.47782872091835876,0.4443031220872319,0.8312088744659184
Alien vs Predator,Kamen,0.4432126907018503,0.34615662731274877,0.48994603025829303,0.5128901867521443,0.7743937507442116
Aliens,Hicks,0.38932788084412717,0.3292553843458454,0.4210351247881549,0.4893302860135363,0.76857469570177
Aliens,Ripley,0.3971267168322354,0.5335152227974197,0.46922449650525916,0.4424177665139955,0.7726403546347707
All About Steve,Angus,0.5066232030661628,0.41027126011337034,0.4693597310439749,0.4561980427112371,0.8431863658784258
All About Steve,Hartman,0.46507553202228263,0.5428047080159732,0.4947923059322002,0.43798083373709756,0.859235254722964
All About Steve,Howard,0.4613223446075202,0.4180349592273539,0.5,0.46109669903956024,0.6983533453556106
All About Steve,Mary,0.4479180167293808,0.5953814304945746,0.46758351686861765,0.5080928573933647,0.8646806584355488
All About Steve,Steve,0.5,0.5645338842122323,0.47810939984773876,0.4638954443801942,0.822181101648295
All the Kings Men,Anne,0.5194174460974021,0.5777701344074619,0.5,0.5087824203687304,0.6664472365136752
All the Kings Men,Jack,0.5514711403078274,0.518776511008341,0.5201781519624776,0.488665913147556,0.7935446526263988
All the Kings Men,Sadie,0.5100618772435859,0.45625355008936996,0.4169590079703188,0.4710683722409287,0.6832649144545643
All the Kings Men,Willie,0.5314585149107864,0.5134934247876488,0.46780141758026894,0.4809481737994523,0.7108799992274467
All the Presidents Men,Bernstein,0.5,0.37381522896868935,0.42671108982122913,0.4796231450996059,0.8090783479196675
All the Presidents Men,Bradlee,0.5684550921485536,0.39719188054145393,0.45492897705883406,0.517453105234413,0.747534708116799
All the Presidents Men,Deep throat,0.5289152668480965,0.29600831009209105,0.4288704490230159,0.4367959349650567,0.8286225139534343
All the Presidents Men,Rosenfeld,0.5763449221399718,0.36184012599746035,0.46468142190079575,0.48767960418837875,0.7907457813362634
All the Presidents Men,Woodward,0.48994174683247005,0.3998351162966478,0.4516551775472893,0.5,0.6932432613274659
Alone in the Dark,Aline,0.5,0.4191114587755569,0.4623650421895419,0.39816588268881203,0.8063493551301819
Alone in the Dark,Burke,0.39141226311998406,0.2845917830463881,0.45725185113709155,0.48742011630575277,0.8311061911884647
