movie_name,char,cEXT,cNEU,cAGR,cCON,cOPN
Army-of-Darkness,ASH AND SHEILA,0.45887496501908265,0.33332906182746636,0.47952386438987155,0.370342623789349,0.8978736648992283
Army-of-Darkness,CLOSE ON ASH,0.47565023336018414,0.2958417754627735,0.5249842548700195,0.43546391985905736,0.8600582055330578
Army-of-Darkness,THE EVIL FORCE,0.3310106804202942,0.3918382091344182,0.41030707635272223,0.43668814836829245,0.8816288279086434
Army-of-Darkness,TWO HEADED ASH,0.4576361331314767,0.4743292196565394,0.39367417709438385,0.3414362386904686,0.8762021293652271
Army-of-Darkness,GOOD ASH,0.41960034539172014,0.3782954710579506,0.43334718182244003,0.3160231511135189,0.8405086786876268
Army-of-Darkness,EVIL ASH,0.48710259433604225,0.3560114043461235,0.40298304653182976,0.3210828014184377,0.871410331826026
Army-of-Darkness,SCOUT,0.5226495747231881,0.169710548345917,0.46685648510523525,0.4832597240263297,0.6861481657391084
Army-of-Darkness,TWELVE ARCHERS,0.4039917371026548,0.3005364458494891,0.5335385186277363,0.3855828464673209,0.7604388769124609
Army-of-Darkness,EVIL SHEILA,0.4922713127739072,0.3047049989272527,0.48402310927991654,0.297693194070152,0.8058136733807388
Army-of-Darkness,THE DEATHCOASTER,0.488920448862931,0.2658698626156746,0.4737274674782193,0.3684585025553378,0.7416360692402361
Nine,GUIDO,0.3766033180268866,0.530473703098402,0.4940213503302528,0.461394303320486,0.848516849387434
Nine,DANTE,0.5315483286239923,0.45515293042341454,0.6093105587527097,0.5953161408111343,0.7324437513930655
Nine,PIERPAOLO,0.5526772949353288,0.2563553605880263,0.646503772361067,0.5826655557961037,0.7835679636198933
Nine,LILLI,0.4104355395056724,0.3986210909867499,0.5230073932654176,0.4922521322750241,0.7958384764154859
Nine,STEPHANIE,0.4765102585799198,0.31496029719633656,0.5248802876719761,0.4657802474956841,0.7867622988579898
Nine,LUISA,0.5,0.5517954784245394,0.4769779949772826,0.5261036022566735,0.8085430551041782
Nine,CARLA,0.4034338276616566,0.5441456697401529,0.49266916502632946,0.48416089860044537,0.6810702591113345
Nine,CARDINAL'S SECRETARY,0.45180275322704816,0.38937802094148,0.5453815131581831,0.5512667455119912,0.7901202451884056
